French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
aide,help
genre,kind
frère,brother
laisser,let
car,because
mettre,to put
laisse,leash
ville,city
chaque,each
parlé,speak
arrivé,should
bébé,long time
longtemps,hours
vont,while
pendant,meet again
aucune,square
place,speak
parle,understood
compris,knew
savais,were
voici,could
pourrais,case
donner,type
type,their
leurs,given
donné,train
train,body
corps,place
yeux,way
façon,listen
écoute,whose
dont,find
main,first
première,side
côté,power
pouvoir,old
vieux,be
sois,here
tiens,morning
matin,so much
tellement,child
enfant,point
point,came
venu,after
suite,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
cause,cause
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
aura,will have
filles,girls
jouer,to play
bureau,office
